S. No.,Date,Region,Confirmed Cases,Cured/Discharged,Death
662,22-01-2022,India,38903731,36301482,488884
1309,22-01-2022,Andaman and Nicobar Islands,9164,8519,129
1971,22-01-2022,Andhra Pradesh,2153268,2074600,14532
2611,22-01-2022,Arunachal Pradesh,58803,55861,282
3252,22-01-2022,Assam,684954,632311,6275
3904,22-01-2022,Bihar,805751,770802,12173
4559,22-01-2022,Chandigarh,83735,73378,1097
5213,22-01-2022,Chhattisgarh,1086207,1041746,13705
5817,22-01-2022,Dadra and Nagar Haveli and Daman and Diu,11144,10896,4
6479,22-01-2022,Delhi,1771028,1683533,25541
7126,22-01-2022,Goa,225165,199597,3594
7780,22-01-2022,Gujarat,1022788,895730,10215
8442,22-01-2022,Haryana,892550,820357,10154
9095,22-01-2022,Himachal Pradesh,257350,236354,3925
9757,22-01-2022,Jammu and Kashmir,384381,344908,4591
10398,22-01-2022,Jharkhand,417403,388389,5244
11060,22-01-2022,Karnataka,3425002,3063292,38537
11722,22-01-2022,Kerala,5552512,5276647,51607
12384,22-01-2022,Ladakh,24213,22890,222
12906,22-01-2022,Lakshadweep,10702,10412,51
13559,22-01-2022,Madhya Pradesh,871632,805990,10557
14221,22-01-2022,Maharashtra,7420027,7009823,142023
14870,22-01-2022,Manipur,129257,124378,2019
15498,22-01-2022,Meghalaya,87735,84458,1495
16146,22-01-2022,Mizoram,158368,148182,578
16741,22-01-2022,Nagaland,33357,32050,705
17399,22-01-2022,Odisha,1187295,1099423,8507
18054,22-01-2022,Puducherry,147870,131850,1898
18716,22-01-2022,Punjab,700222,635126,16913
19378,22-01-2022,Rajasthan,1100961,1007115,9059
19967,22-01-2022,Sikkim,36421,33545,419
20717,22-01-2022,Tamil Nadu,3072666,2848163,37145
21379,22-01-2022,Telangana,726819,693623,4069
22015,22-01-2022,Tripura,97376,88316,864
22677,22-01-2022,Uttar Pradesh,1916616,1797728,23022
23335,22-01-2022,Uttarakhand,391915,357497,7468
23990,22-01-2022,West Bengal,1949074,1793993,20265
661,21-01-2022,India,38566027,36058806,488396
1308,21-01-2022,Andaman and Nicobar Islands,9033,8439,129
1970,21-01-2022,Andhra Pradesh,2140056,2071658,14527
2610,21-01-2022,Arunachal Pradesh,58271,55729,282
3251,21-01-2022,Assam,678057,629332,6260
3903,21-01-2022,Bihar,802742,763906,12162
